datetime_local,uptime_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,speed_mps,turn_rate_deg_s,gps_valid
2026-01-27 22:12:10,167678,174.000,1624.000,8123.000,59.000,-184.000,14.000,0.000,0.000,0
2026-01-27 22:12:10,167718,178.000,1621.000,8118.000,41.000,-171.000,17.000,0.000,0.000,0
2026-01-27 22:12:10,167758,179.000,1634.000,8142.000,49.000,-172.000,19.000,0.000,0.000,0
2026-01-27 22:12:10,167798,181.000,1635.000,8138.000,46.000,-171.000,23.000,0.000,0.000,0
2026-01-27 22:12:10,167838,171.000,1632.000,8123.000,36.000,-173.000,24.000,0.000,0.000,0
2026-01-27 22:12:10,167878,175.000,1629.000,8131.000,42.000,-182.000,16.000,0.000,0.000,0
2026-01-27 22:12:10,167918,175.000,1625.000,8133.000,36.000,-172.000,19.000,0.000,0.000,0
2026-01-27 22:12:10,167958,179.000,1625.000,8134.000,36.000,-170.000,17.000,0.000,0.000,0
2026-01-27 22:12:10,167998,176.000,1626.000,8127.000,39.000,-170.000,21.000,0.000,0.000,0
2026-01-27 22:12:10,168038,181.000,1624.000,8130.000,41.000,-174.000,23.000,0.000,0.000,0
2026-01-27 22:12:10,168078,178.000,1635.000,8127.000,37.000,-174.000,17.000,0.000,0.000,0
2026-01-27 22:12:10,168118,172.000,1624.000,8132.000,22.000,-170.000,23.000,0.000,0.000,0
2026-01-27 22:12:10,168158,179.000,1631.000,8132.000,47.000,-172.000,16.000,0.000,0.000,0
2026-01-27 22:12:10,168198,174.000,1625.000,8132.000,38.000,-169.000,18.000,0.000,0.000,0
2026-01-27 22:12:10,168238,179.000,1628.000,8146.000,42.000,-168.000,24.000,0.000,0.000,0
2026-01-27 22:12:10,168278,174.000,1629.000,8130.000,27.000,-173.000,23.000,0.000,0.000,0
2026-01-27 22:12:10,168318,178.000,1625.000,8132.000,42.000,-171.000,20.000,0.000,0.000,0
2026-01-27 22:12:10,168358,184.000,1627.000,8132.000,30.000,-166.000,18.000,0.000,0.000,0
2026-01-27 22:12:10,168398,176.000,1629.000,8135.000,44.000,-173.000,19.000,0.000,0.000,0
2026-01-27 22:12:10,168438,175.000,1623.000,8133.000,34.000,-170.000,21.000,0.000,0.000,0
2026-01-27 22:12:10,168478,177.000,1634.000,8138.000,52.000,-183.000,14.000,0.000,0.000,0
2026-01-27 22:12:10,168518,177.000,1631.000,8131.000,46.000,-178.000,17.000,0.000,0.000,0
2026-01-27 22:12:11,168558,172.000,1628.000,8127.000,27.000,-165.000,18.000,0.000,0.000,0
2026-01-27 22:12:11,168598,175.000,1616.000,8128.000,40.000,-175.000,18.000,0.000,0.000,0
2026-01-27 22:12:11,168638,180.000,1624.000,8130.000,60.000,-179.000,20.000,0.000,0.000,0
2026-01-27 22:12:11,168678,176.000,1635.000,8142.000,48.000,-178.000,18.000,0.000,0.000,0
2026-01-27 22:12:11,168718,172.000,1623.000,8129.000,39.000,-174.000,17.000,0.000,0.000,0
2026-01-27 22:12:11,168758,175.000,1638.000,8125.000,53.000,-176.000,17.000,0.000,0.000,0
2026-01-27 22:12:11,168798,173.000,1634.000,8127.000,42.000,-168.000,14.000,0.000,0.000,0
2026-01-27 22:12:11,168838,171.000,1626.000,8124.000,37.000,-164.000,25.000,0.000,0.000,0
2026-01-27 22:12:11,168878,178.000,1629.000,8120.000,41.000,-174.000,18.000,0.000,0.000,0
2026-01-27 22:12:11,168918,178.000,1632.000,8124.000,38.000,-170.000,20.000,0.000,0.000,0
2026-01-27 22:12:11,168958,175.000,1634.000,8122.000,46.000,-175.000,19.000,0.000,0.000,0
2026-01-27 22:12:11,168998,174.000,1632.000,8128.000,41.000,-172.000,18.000,0.000,0.000,0
2026-01-27 22:12:11,169038,175.000,1628.000,8129.000,37.000,-165.000,27.000,0.000,0.000,0
2026-01-27 22:12:11,169078,176.000,1628.000,8131.000,38.000,-175.000,21.000,0.000,0.000,0
2026-01-27 22:12:11,169118,182.000,1636.000,8126.000,41.000,-177.000,14.000,0.000,0.000,0
2026-01-27 22:12:11,169158,176.000,1634.000,8127.000,46.000,-174.000,18.000,0.000,0.000,0
2026-01-27 22:12:11,169198,176.000,1633.000,8127.000,39.000,-171.000,19.000,0.000,0.000,0
2026-01-27 22:12:11,169238,177.000,1622.000,8132.000,34.000,-169.000,23.000,0.000,0.000,0
2026-01-27 22:12:11,169278,178.000,1628.000,8136.000,35.000,-167.000,21.000,0.000,0.000,0
2026-01-27 22:12:11,169318,174.000,1632.000,8134.000,44.000,-183.000,12.000,0.000,0.000,0
2026-01-27 22:12:11,169358,179.000,1626.000,8127.000,49.000,-176.000,18.000,0.000,0.000,0
2026-01-27 22:12:11,169398,174.000,1632.000,8141.000,39.000,-171.000,17.000,0.000,0.000,0
2026-01-27 22:12:11,169438,173.000,1629.000,8139.000,38.000,-167.000,26.000,0.000,0.000,0
2026-01-27 22:12:11,169478,179.000,1629.000,8138.000,42.000,-174.000,20.000,0.000,0.000,0
2026-01-27 22:12:12,169519,177.000,1632.000,8145.000,38.000,-175.000,19.000,0.000,0.000,0
2026-01-27 22:12:12,169558,174.000,1632.000,8142.000,44.000,-172.000,18.000,0.000,0.000,0
2026-01-27 22:12:12,169598,176.000,1633.000,8141.000,36.000,-168.000,19.000,0.000,0.000,0
2026-01-27 22:12:12,169638,176.000,1629.000,8135.000,40.000,-172.000,26.000,0.000,0.000,0
2026-01-27 22:12:12,169678,178.000,1629.000,8135.000,37.000,-170.000,24.000,0.000,0.000,0
2026-01-27 22:12:12,169718,174.000,1633.000,8127.000,45.000,-178.000,13.000,0.000,0.000,0
2026-01-27 22:12:12,169758,181.000,1630.000,8131.000,37.000,-174.000,20.000,0.000,0.000,0
2026-01-27 22:12:12,169798,178.000,1625.000,8122.000,42.000,-176.000,17.000,0.000,0.000,0
2026-01-27 22:12:12,169838,172.000,1636.000,8130.000,42.000,-173.000,21.000,0.000,0.000,0
2026-01-27 22:12:12,169878,171.000,1630.000,8132.000,36.000,-172.000,23.000,0.000,0.000,0
2026-01-27 22:12:12,169918,171.000,1632.000,8130.000,46.000,-183.000,14.000,0.000,0.000,0
2026-01-27 22:12:12,169958,178.000,1633.000,8138.000,37.000,-168.000,18.000,0.000,0.000,0
2026-01-27 22:12:12,169998,173.000,1634.000,8127.000,42.000,-174.000,20.000,0.000,0.000,0
2026-01-27 22:12:12,170038,176.000,1636.000,8129.000,42.000,-173.000,18.000,0.000,0.000,0
2026-01-27 22:12:12,170078,181.000,1632.000,8140.000,29.000,-157.000,20.000,0.000,0.000,0
2026-01-27 22:12:12,170118,177.000,1628.000,8125.000,37.000,-170.000,17.000,0.000,0.000,0
2026-01-27 22:12:12,170158,169.000,1631.000,8121.000,68.000,-178.000,13.000,0.000,0.000,0
2026-01-27 22:12:12,170198,176.000,1634.000,8132.000,103.000,-184.000,8.000,0.000,0.000,0
2026-01-27 22:12:12,170238,173.000,1643.000,8124.000,77.000,-184.000,15.000,0.000,0.000,0
2026-01-27 22:12:12,170278,177.000,1643.000,8134.000,46.000,-172.000,27.000,0.000,0.000,0
2026-01-27 22:12:12,170318,171.000,1647.000,8126.000,41.000,-170.000,22.000,0.000,0.000,0
2026-01-27 22:12:12,170358,173.000,1642.000,8127.000,41.000,-179.000,20.000,0.000,0.000,0
2026-01-27 22:12:12,170398,178.000,1640.000,8115.000,32.000,-175.000,23.000,0.000,0.000,0
2026-01-27 22:12:12,170438,177.000,1643.000,8130.000,37.000,-173.000,18.000,0.000,0.000,0
2026-01-27 22:12:12,170478,175.000,1638.000,8130.000,17.000,-159.000,30.000,0.000,0.000,0
2026-01-27 22:12:12,170518,177.000,1642.000,8128.000,29.000,-176.000,18.000,0.000,0.000,0
2026-01-27 22:12:13,170558,169.000,1641.000,8124.000,42.000,-176.000,18.000,0.000,0.000,0
2026-01-27 22:12:13,170598,173.000,1636.000,8125.000,24.000,-166.000,20.000,0.000,0.000,0
2026-01-27 22:12:13,170638,178.000,1628.000,8125.000,26.000,-171.000,21.000,0.000,0.000,0
2026-01-27 22:12:13,170678,176.000,1628.000,8125.000,16.000,-164.000,28.000,0.000,0.000,0
2026-01-27 22:12:13,170718,179.000,1634.000,8128.000,16.000,-171.000,26.000,0.000,0.000,0
2026-01-27 22:12:13,170758,175.000,1629.000,8131.000,38.000,-178.000,21.000,0.000,0.000,0
2026-01-27 22:12:13,170798,183.000,1589.000,8145.000,-1.000,-171.000,27.000,0.000,0.000,0
2026-01-27 22:12:13,170838,169.000,1598.000,8110.000,52.000,-170.000,13.000,0.000,0.000,0
2026-01-27 22:12:13,170878,172.000,1662.000,8096.000,197.000,-199.000,-5.000,0.000,0.000,0
2026-01-27 22:12:13,170918,178.000,1655.000,8147.000,9.000,-149.000,15.000,0.000,0.000,0
