datetime_local,uptime_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,speed_mps,turn_rate_deg_s,gps_valid
2026-01-31 12:33:12,3698494,-951.000,4240.000,7202.000,289.000,22.000,-22.000,0.000,0.000,0
2026-01-31 12:33:12,3698534,-993.000,4250.000,7177.000,93.000,21.000,56.000,0.000,0.000,0
2026-01-31 12:33:12,3698574,-938.000,4183.000,7197.000,55.000,-7.000,89.000,0.000,0.000,0
2026-01-31 12:33:12,3698614,-903.000,4073.000,7188.000,-41.000,3.000,63.000,0.000,0.000,0
2026-01-31 12:33:12,3698654,-938.000,4210.000,7188.000,-5.000,32.000,14.000,0.000,0.000,0
2026-01-31 12:33:12,3698700,-916.000,4153.000,7203.000,-30.000,27.000,74.000,0.000,0.000,0
2026-01-31 12:33:12,3698734,-940.000,4209.000,7190.000,-78.000,38.000,40.000,0.000,0.000,0
2026-01-31 12:33:12,3698774,-935.000,4187.000,7189.000,-113.000,45.000,31.000,0.000,0.000,0
2026-01-31 12:33:12,3698814,-968.000,4229.000,7202.000,84.000,11.000,80.000,0.000,0.000,0
2026-01-31 12:33:12,3698854,-910.000,4126.000,7166.000,-9.000,-3.000,117.000,0.000,0.000,0
2026-01-31 12:33:12,3698894,-917.000,4168.000,7197.000,-51.000,30.000,-71.000,0.000,0.000,0
2026-01-31 12:33:12,3698934,-1007.000,4127.000,7157.000,47.000,14.000,12.000,0.000,0.000,0
2026-01-31 12:33:12,3698974,-895.000,4273.000,7349.000,79.000,-34.000,22.000,0.000,0.000,0
2026-01-31 12:33:12,3699014,-908.000,4203.000,7225.000,-65.000,39.000,17.000,0.000,0.000,0
2026-01-31 12:33:13,3699054,-941.000,4095.000,7101.000,44.000,21.000,60.000,0.000,0.000,0
2026-01-31 12:33:13,3699094,-937.000,4213.000,7271.000,-33.000,18.000,-48.000,0.000,0.000,0
2026-01-31 12:33:13,3699134,-960.000,4163.000,7191.000,-41.000,31.000,31.000,0.000,0.000,0
2026-01-31 12:33:13,3699174,-960.000,4230.000,7199.000,100.000,4.000,66.000,0.000,0.000,0
2026-01-31 12:33:13,3699214,-907.000,4129.000,7161.000,70.000,17.000,160.000,0.000,0.000,0
2026-01-31 12:33:13,3699254,-899.000,4154.000,7141.000,28.000,39.000,-23.000,0.000,0.000,0
2026-01-31 12:33:13,3699294,-901.000,4177.000,7212.000,103.000,6.000,-119.000,0.000,0.000,0
2026-01-31 12:33:13,3699334,-982.000,4288.000,7168.000,422.000,2.000,-83.000,0.000,0.000,0
2026-01-31 12:33:13,3699374,-816.000,4036.000,7096.000,192.000,-22.000,-229.000,0.000,0.000,0
2026-01-31 12:33:13,3699414,-1144.000,4251.000,7160.000,79.000,10.000,-206.000,0.000,0.000,0
2026-01-31 12:33:13,3699454,-937.000,4139.000,7122.000,110.000,12.000,-30.000,0.000,0.000,0
2026-01-31 12:33:13,3699494,-868.000,4211.000,7175.000,196.000,26.000,57.000,0.000,0.000,0
2026-01-31 12:33:13,3699534,-1031.000,4512.000,7095.000,255.000,74.000,57.000,0.000,0.000,0
2026-01-31 12:33:13,3699574,-958.000,4209.000,7141.000,28.000,6.000,4.000,0.000,0.000,0
2026-01-31 12:33:13,3699614,-927.000,4262.000,7139.000,161.000,55.000,46.000,0.000,0.000,0
2026-01-31 12:33:13,3699654,-995.000,4413.000,7052.000,330.000,100.000,77.000,0.000,0.000,0
2026-01-31 12:33:13,3699694,-1020.000,4313.000,7051.000,232.000,67.000,28.000,0.000,0.000,0
2026-01-31 12:33:13,3699734,-975.000,4353.000,7089.000,172.000,39.000,61.000,0.000,0.000,0
2026-01-31 12:33:13,3699774,-895.000,4142.000,7068.000,485.000,63.000,75.000,0.000,0.000,0
2026-01-31 12:33:13,3699814,-871.000,4682.000,7117.000,689.000,159.000,133.000,0.000,0.000,0
2026-01-31 12:33:13,3699854,-956.000,4502.000,6949.000,440.000,136.000,165.000,0.000,0.000,0
2026-01-31 12:33:13,3699894,-868.000,4482.000,6958.000,612.000,116.000,170.000,0.000,0.000,0
2026-01-31 12:33:13,3699934,-856.000,4694.000,6997.000,533.000,157.000,257.000,0.000,0.000,0
2026-01-31 12:33:13,3699974,-915.000,5102.000,6973.000,542.000,300.000,254.000,0.000,0.000,0
2026-01-31 12:33:13,3700014,-776.000,4672.000,6928.000,-130.000,359.000,169.000,0.000,0.000,0
